year,track_id,track_name,artist_name,album_name,release_date,release_year,explicit,popularity,duration_sec,artist_popularity,artist_genres,duration_min,release_month,years_since_release,genre_group
2010,4cfZ4m8KADuKaormlD6syx,Perdido en la calle,Taxi,Aqui y ahora,2010-05-17,2010,0,36,268.866,33,,4.4811,5.0,0,unknown
2010,4BBC0JXqqZbQH5rQwjiUkp,Todo Me Da Igual,Pignoise,Año Zero,2010-04-26,2010,0,51,205.026,55,,3.4171,4.0,0,unknown
2010,72wP8pJImrhxGA6f6F91gk,Fan de Ti,Sidecars,Cremalleras,2010-08-24,2010,0,47,213.08,51,,3.5513333333333335,8.0,0,unknown
2010,63PNHwm8hgpkPeUFfUa4dk,La cabecita loca,Rulo y la contrabanda,Señales de humo,2010-09-24,2010,0,45,244.76,50,,4.0793333333333335,9.0,0,unknown
2010,1VPNyyE9XfKQmJFchnkp09,Para no ver el final,M-Clan,Para no ver el final,2010-09-17,2010,0,23,270.453,53,,4.50755,9.0,0,unknown
2010,6IGoBmIvyBVFLTLU8q4oMA,Ella me dijo que no,Bunbury,Las Consecuencias,2010-02-16,2010,0,40,258.2,71,"rock en español, latin rock, mexican rock",4.303333333333334,2.0,0,rock en español
2010,0eTNLIPzgURsXMdgX4cdpJ,LN Granada,Supersubmarina,Electroviral,2010-02-23,2010,0,53,191.746,52,indie,3.1957666666666666,2.0,0,indie
2010,76UobMGukzzmaCFH8SWYvB,Bipolar,Pol 3.14,Bipolar,2010-01-26,2010,0,40,262.111,43,,4.368516666666666,1.0,0,unknown
2010,21B48TXnJ0Y9SQry4W2gMC,No Te Invité A Dormir,Nena Daconte,Una Mosca En El Cristal,2010-01-01,2010,0,24,195.013,50,,3.2502166666666668,1.0,0,unknown
2010,7HacCTm33hZYYN8DXpCYuG,I Like It,Enrique Iglesias,Euphoria,,2010,0,74,231.373,78,"latin pop, latin",3.8562166666666666,,0,latin pop
2011,7sRXhReWmJF5pqyg3uUTES,Solamente tú,Pablo Alborán,Pablo Alboran (Deluxe),2011-02-01,2011,0,73,247.186,74,latin pop,4.119766666666667,2.0,0,latin pop
2011,4hO4Y9WR9NL5L7XnqtbTyE,90 Minutos,India Martinez,Trece Verdades,2011-02-08,2011,0,53,200.373,62,"flamenco, flamenco pop",3.33955,2.0,0,flamenco
2011,4owAiZFLEurIBYgAaDwOZo,Un Giro Teatral,Manolo Garcia,Los Dias Intactos,2011-10-25,2011,0,47,235.88,58,"flamenco, flamenco pop",3.9313333333333333,10.0,0,flamenco
2011,1YSPIHUt1JiN9H1GcgH8Ce,Cuando Suba la Marea,Amaral,Hacia Lo Salvaje,2011-09-27,2011,0,51,265.213,61,,4.420216666666667,9.0,0,unknown
2011,2HKTMtMM6aXnCq8kUHXm0J,Me Quedaré,Estopa,2.0,2011-11-21,2011,0,58,197.293,68,"flamenco, flamenco pop",3.2882166666666666,11.0,0,flamenco
2011,0lTKqVmGitaJGRf1DzhaFV,La Niña Que Llora en Tus Fiestas,La Oreja de Van Gogh,Cometas Por El Cielo,2011-09-13,2011,0,58,161.08,74,latin pop,2.6846666666666668,9.0,0,latin pop
2011,0E0UXKefKsErAyZwEzM8Dk,Gimme the Base (DJ) [Feat. M-AND-Y],Carlos Jean,Gimme the Base (DJ) [Feat. M-AND-Y],2011-05-09,2011,0,26,228.953,41,,3.8158833333333333,5.0,0,unknown
2011,3x16YDqLOFxCW4EZAZRQ0B,Tu Mirada,Amaia Montero,2,2011-11-08,2011,0,39,261.6,58,,4.36,11.0,0,unknown
2011,5iRnGUDiu8ky9vGaWqXB2G,Puedo,La Sonrisa De Julia,El hombre que olvido su nombre,2011-01-31,2011,0,25,192.973,25,,3.2162166666666665,1.0,0,unknown
2011,0JXRA6bYdnwkHYAlIwEWb8,En el Mundo Genial de las Cosas Que Dices,Maldita Nerea,Facil,2011-05-17,2011,0,49,253.52,55,,4.225333333333333,5.0,0,unknown
2011,60WhYZPDk2HDViBaBKECg7,Depende de ti,El Sueño de Morfeo,Buscamos sonrisas,2012-02-10,2012,0,20,220.909,48,,3.6818166666666667,2.0,-1,unknown
2011,59bqZ237MW9CvFRLqu6Dgg,Te he echado de menos - Radio Edit,Pablo Alborán,Pablo Alboran (Deluxe),2011-02-01,2011,0,65,232.573,74,latin pop,3.8762166666666666,2.0,0,latin pop
2011,2U7uSWhR1T9SaVKhq4j7yN,La Quiero a Morir (feat. Alejandro Sanz),Jarabe De Palo,¿Y Ahora Que Hacemos?,,2011,0,57,198.506,68,"rock en español, latin rock, latin alternative",3.3084333333333333,,0,rock en español
2011,7Cgva5oPX7e412mUlDLreF,Ya Lo Sabes,Antonio Orozco,Renovatio 2011,2010-01-01,2010,0,52,212.386,63,"flamenco, flamenco pop",3.5397666666666665,1.0,1,flamenco
2011,3UiVEjDAzhh1SPKe4d0BbG,Como Tú Ninguna,Bustamante,Mío,2011-01-01,2011,0,13,211.213,46,,3.5202166666666668,1.0,0,unknown
2011,1Ff2rWH9B71EA9HxAK18Gm,Mi trozo de cielo,Rosana,"¡¡Buenos dias, mundo!!",2011-11-04,2011,0,33,247.08,59,"trova, villancicos",4.118,11.0,0,trova
2011,1pGExX8cYO8zaqMPFEMAib,Bandera Blanca - Con Pastora Soler,Bustamante,Mío,2011-01-01,2011,0,34,250.293,46,,4.17155,1.0,0,unknown
2011,0uiFDeqixW2dmDiYPqcvig,Vuelvo a pensar en ti - Little Prayer - La boda de mi mejor amigo,Presuntos Implicados,Banda sonora,2011-09-06,2011,0,9,206.586,46,,3.4431,9.0,0,unknown
2011,1Z7YIsDRSwXJIsbxYMcnA8,No puedo quitar mis ojos de ti,Alba Molina,Flamenco Patrimonio De La Humanidad,2011-07-12,2011,0,42,186.306,35,"flamenco, flamenco pop",3.1051,7.0,0,flamenco
2011,1hI1st8dvPmr1S55XDkavG,Yo no te pido la luna,Sergio Dalma,Via Dalma II,2011-11-29,2011,0,55,205.84,55,,3.4306666666666668,11.0,0,unknown
2011,0qSlVX5N1OCTIjQhI6uc8F,Si No Te Hubieras Ido,Tamara,20 Años De Amor,2019-11-21,2019,0,42,266.986,41,bolero,4.449766666666667,11.0,-8,bolero
2011,5XqlTeL5oyxqSJsD6D7XVP,Cuando Te Beso,Niña Pastori,La Orilla de Mi Pelo,2011-05-23,2011,0,51,215.493,59,"flamenco, flamenco pop, villancicos",3.59155,5.0,0,flamenco
2011,2x59pa3xDf8hHZ4N3f5fGQ,Si te vas...,Extremoduro,Material defectuoso,2011-05-24,2011,0,65,516.666,65,,8.6111,5.0,0,unknown
2011,1RnDdNwGdqTMSTiZmSLYdU,Maldita Dulzura,Vetusta Morla,Mapas,2011-04-21,2011,0,53,227.546,55,indie,3.7924333333333333,4.0,0,indie
2011,0QC4Znh90uZfv90lnhKMlx,Ódiame,Bunbury,Licenciado cantinas,2011-02-02,2011,0,50,183.373,71,"rock en español, latin rock, mexican rock",3.056216666666667,2.0,0,rock en español
2011,3mBmN0gpbQibDbFvFWa8vO,Hacia Lo Salvaje,Amaral,Hacia Lo Salvaje,2011-09-27,2011,0,41,254.894,61,,4.248233333333333,9.0,0,unknown
2011,7GwbNCgaJQi6kMVCCFviSW,Vencer al Amor,India Martinez,Trece Verdades,2011-02-08,2011,0,45,280.706,62,"flamenco, flamenco pop",4.678433333333333,2.0,0,flamenco
2011,1PJFlH8LXTW2pTcgCLC9bu,Demasiado amor,Pastora Soler,Demasiado amor,2011-09-02,2011,0,3,234.866,50,"flamenco pop, flamenco",3.914433333333333,9.0,0,flamenco pop
2011,7k9VBQZjHxhp9FSK9Xd6dH,Imposible,Melocos,Imposible,2011-03-29,2011,0,17,226.733,39,,3.7788833333333334,3.0,0,unknown
2011,3qYiY50p8OTZI0eIUTUtOX,Sick of Love,Robert Ramirez,Sick of Love,2010-03-15,2010,0,35,326.36,21,,5.439333333333333,3.0,1,unknown
2011,0YH3suw9xg16BTaFm9ySYW,Feel The Magic,Pastora,Un Viaje En Noria,,2011,0,11,227.746,30,,3.7957666666666667,,0,unknown
2011,4ABlcvWHlgr5ffMNLqfYHI,Tú sigue así,OBK,20 - Nuevas versiones singles 1991/2011 (Deluxe),2011-05-10,2011,0,24,263.013,48,synthpop,4.38355,5.0,0,synthpop
2011,1HZXuYCITCTXHMT4yLorXP,¿No Podiamos Ser Agua?,Maldita Nerea,Facil,2011-05-17,2011,0,45,242.306,55,,4.038433333333334,5.0,0,unknown
2011,7eL9KCJRbIegRrw6rxPzVp,Donde Estabas,Amaia Montero,2,2011-11-08,2011,0,42,206.213,58,,3.4368833333333333,11.0,0,unknown
2011,08IPxa3ebJKJFigr5Z5Yzk,Un Año Y Otro Año,Manolo Garcia,Los Dias Intactos,2011-10-25,2011,0,18,227.773,58,"flamenco, flamenco pop",3.7962166666666666,10.0,0,flamenco
2011,6GMJMrL250EkBkwo729lBh,La Primavera,Estopa,2.0,2011-11-21,2011,0,39,200.48,68,"flamenco, flamenco pop",3.3413333333333335,11.0,0,flamenco
2011,7J5HoqkXMVdbbwpjG0LOgt,Olvidarte Hoy,Natalia y Maka,Natalia y Maka,2011-01-01,2011,0,32,196.36,29,"flamenco, flamenco pop",3.272666666666667,1.0,0,flamenco
2011,7MdEpVTu68qAJpIp7H6jtq,El Viejo Verano,El Barrio,Espejos,,2011,0,40,264.012,61,"flamenco, flamenco pop",4.4002,,0,flamenco
