year,popularity,duration_sec,artist_popularity,years_since_release,explicit,is_urbano_latino,is_lanzamiento_reciente,is_artista_top,genero_electronica,genero_flamenco_raices,genero_internacional,genero_otros,genero_pop_espanol,genero_rock_indie,genero_unknown,genero_urbano_latino,temporada_invierno,temporada_otono,temporada_primavera,temporada_sin_fecha,temporada_verano
2015,-1.0287553316796005,0.17249194211580363,-0.3999129035874261,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2015,-0.7170245778336253,0.595964266083009,-0.9523117012509285,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2015,-0.9768002060386046,-0.7051128844707367,-1.5047104989144306,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2015,1.2053150708832214,-0.18090695919031602,0.950395268478913,-0.20923034147038305,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2015,0.1662125580633042,0.25366562084392835,-0.7681787686964276,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2015,-0.3533386983466543,0.5424923277160181,-0.706801124511594,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2015,-1.184620708602588,3.0179961300850495,-0.3385352594025925,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2015,0.6338086888322669,0.39285891994007693,-0.3385352594025925,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2015,-1.236575834243584,1.9463813213576444,0.4593741150002442,-0.20923034147038305,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2015,-0.24942844706466263,0.8867469652136081,-0.7681787686964276,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2015,-0.5611592009106378,0.295743904305104,-1.32057756635993,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2015,-0.7689797034746212,0.8825171319545823,-0.46129054777225964,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2015,-0.3533386983466543,-0.24120042055885715,-0.5840458361419268,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2015,-0.30138357270565846,-0.5545014805655413,-0.5840458361419268,-0.20923034147038305,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2015,-0.8728899547566129,-0.9029859513221571,-1.013689345435762,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2015,-1.860037341935534,-0.9194651861000952,-2.2412422291324336,0.4872245873004145,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2015,-2.171768095781509,0.333274505765246,-3.3460398244594387,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2015,-1.0287553316796005,0.7013677989134147,-0.706801124511594,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2015,-0.6650694521926295,-0.9454554332350343,-0.5840458361419268,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2015,-2.171768095781509,-0.621689814645327,-1.9957316523930995,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2015,-1.2885309598845798,-0.15090692792543364,0.15248589407607627,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2015,-2.3795885983454927,-0.6893915966929703,-2.3026198733172674,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2015,-0.9768002060386046,2.146943877564515,0.7662623359244122,-0.20923034147038305,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2015,-0.45724894962864604,2.2627386192682497,-0.5226681919570932,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2015,-1.860037341935534,0.770218726412932,-1.5047104989144306,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2015,-2.1198129701405133,0.3383845355406009,-2.057109296577933,0.4872245873004145,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2015,-0.6131143265516336,-0.22613928016833726,-0.2157799710329253,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2015,-0.0416079445006792,1.8759900499545514,-0.5226681919570932,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
